student_uid,pillar,current_term,cgpa,prereq_ct_grade,used_pytorch_tensorflow,used_big_data_tools,diag_python_mod_answer,diag_pvalue_answer,diag_pca_answer,grit_distracted_by_new_ideas,grit_setbacks_dont_discourage_me,grit_short_term_obsession_then_loss,grit_i_am_a_hard_worker,grit_i_change_goals,grit_i_finish_what_i_begin,cse_debug_python_without_help,cse_learn_new_ml_library,cse_explain_model_theory,cse_interpret_complex_viz,hours_per_week_planned,commute_minutes_daily,team_formed_for_final_project,laptop_or_cloud_ready,final_course_score
STU_118,ESD,Term 6,4.19,A/A+,No,Yes,0,Experiment failed,Binary tree traversal,1,4,2,4,3,5,4,4,3,3,8,55,No,Yes,64.2
STU_119,DAI,Term 6,4.68,A/A+,No,No,0,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,4,3,3,1,4,2,4,4,4,3,7,28,No,No,71.2
STU_120,ESD,Term 6,4.35,A/A+,No,Yes,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,3,2,3,3,4,3,1,2,1,2,6,38,No,Yes,78.3
STU_121,ESD,Term 6,4.18,A-,No,No,2,Experiment failed,Integration by parts,2,3,2,2,3,2,1,2,1,3,5,109,Yes,Yes,58.2
STU_122,EPD,Term 6,3.76,A-,Yes,No,Error,Not significant (fail to reject H0),Integration by parts,2,1,4,2,3,2,2,1,3,2,0,38,Yes,Yes,53.0
STU_123,EPD,Term 8,3.75,B+,No,No,Error,Experiment failed,Finding eigenvalues and eigenvectors,2,4,3,4,2,3,1,1,1,4,6,37,Yes,Yes,64.5
STU_124,ISTD,Term 6,4.74,A/A+,Yes,No,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,3,2,5,1,5,4,3,5,3,4,1,72,Yes,Yes,84.0
STU_125,ISTD,Term 6,4.42,A/A+,Yes,No,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,1,3,3,3,2,3,4,4,3,1,7,25,Yes,Yes,84.7
STU_126,ISTD,Term 6,4.01,B+,Yes,No,2,Statistically significant (reject H0),Calculating the derivative,1,4,1,4,4,3,5,3,5,4,11,31,Yes,Yes,80.7
STU_127,DAI,Term 7,3.95,A-,Yes,No,0,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,2,2,3,4,1,4,4,4,3,3,,8,Yes,Yes,75.3
STU_128,DAI,Term 6,3.82,A-,Yes,No,2,96% probability H0 is true,Finding eigenvalues and eigenvectors,5,2,4,1,5,3,4,4,4,3,6,40,Yes,Yes,66.0
STU_129,ISTD,Term 7,4.51,A/A+,No,Yes,0,Experiment failed,Integration by parts,2,3,1,5,3,4,2,3,3,2,11,26,No,Yes,70.3
STU_130,ISTD,Term 6,4.19,A-,Yes,No,2,96% probability H0 is true,Finding eigenvalues and eigenvectors,2,2,3,2,3,4,5,2,5,3,2,70,Yes,Yes,83.3
STU_131,ESD,Term 7,4.73,A/A+,No,No,2,Not significant (fail to reject H0),Finding eigenvalues and eigenvectors,2,5,3,4,2,4,3,3,3,3,9,37,No,Yes,85.2
STU_132,EPD,Term 6,3.44,B-,No,Yes,0.66,Not significant (fail to reject H0),Binary tree traversal,2,2,3,1,4,2,3,5,5,3,4,20,No,Yes,57.1
STU_133,DAI,Term 6,4.09,B,No,No,Error,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,5,1,4,1,4,1,2,3,3,4,5,32,No,Yes,58.3
STU_134,DAI,Term 6,4.19,A/A+,No,No,Error,Experiment failed,Calculating the derivative,1,5,2,4,2,4,3,2,3,3,13,42,Yes,Yes,74.7
STU_135,ESD,Term 6,4.15,A-,No,No,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,4,1,4,1,5,1,4,5,3,3,6,15,No,Yes,65.9
STU_136,ISTD,Term 7,,A/A+,Yes,No,0,96% probability H0 is true,Finding eigenvalues and eigenvectors,3,4,3,2,4,4,2,2,3,2,7,23,Yes,Yes,66.3
STU_137,ESD,Term 6,3.79,A-,Yes,No,2,96% probability H0 is true,Integration by parts,3,5,1,5,1,5,1,3,2,1,11,20,Yes,Yes,70.3
STU_138,DAI,Term 7,4.11,A-,No,No,2,Statistically significant (reject H0),Binary tree traversal,4,3,3,5,3,3,4,4,4,5,8,25,No,Yes,74.8
STU_139,DAI,Term 7,3.87,A-,Yes,No,1,Not significant (fail to reject H0),Binary tree traversal,5,3,3,4,2,3,4,3,4,3,11,5,Yes,No,66.7
STU_140,EPD,Term 6,4.71,A/A+,Yes,No,1,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,3,1,2,2,1,5,2,2,3,3,6,,No,Yes,83.1
STU_141,EPD,Term 7,4.7,A/A+,No,No,2,Experiment failed,Finding eigenvalues and eigenvectors,3,4,3,3,1,3,4,4,3,2,9,38,Yes,Yes,78.1
STU_142,ESD,Term 6,4.21,A/A+,Yes,No,2,96% probability H0 is true,Finding eigenvalues and eigenvectors,4,2,4,2,4,1,4,4,5,5,7,18,Yes,Yes,71.0
STU_143,ESD,Term 7,4.71,A/A+,No,No,2,Experiment failed,Integration by parts,2,3,1,5,1,3,3,2,1,3,6,79,Yes,Yes,75.1
STU_144,ISTD,Term 7,3.87,B+,Yes,Yes,0.66,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,3,5,1,5,1,5,4,3,4,2,11,43,No,Yes,73.5
STU_145,ISTD,Term 6,3.99,B+,Yes,No,Error,Not significant (fail to reject H0),Finding eigenvalues and eigenvectors,3,1,4,2,5,2,2,3,2,2,7,19,Yes,Yes,74.2
STU_146,ASD,Term 6,4.58,A/A+,Yes,No,0.66,Experiment failed,Finding eigenvalues and eigenvectors,5,1,5,1,5,1,4,4,3,5,1,39,No,Yes,78.4
STU_147,ESD,Term 8,4.06,A-,Yes,Yes,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,4,1,4,2,3,2,5,4,4,3,6,75,Yes,Yes,80.6
STU_148,ESD,Term 6,4.48,A/A+,Yes,No,0.66,Statistically significant (reject H0),Binary tree traversal,2,5,1,3,1,5,4,4,3,3,7,42,Yes,Yes,80.6
STU_149,ISTD,Term 7,4.31,A/A+,Yes,No,2,Not significant (fail to reject H0),Finding eigenvalues and eigenvectors,3,4,2,3,2,3,3,5,3,5,7,38,Yes,Yes,65.7
STU_150,ESD,Term 6,5.3,A/A+,Yes,No,1,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,4,1,4,3,4,3,5,3,5,5,7,72,No,Yes,78.2
STU_151,ESD,Term 6,3.36,B+,No,No,2,Not significant (fail to reject H0),Calculating the derivative,4,3,2,3,3,1,3,2,3,3,4,67,No,Yes,60.4
STU_152,ASD,Term 7,4.16,A/A+,Yes,No,2,Statistically significant (reject H0),Integration by parts,3,3,3,3,4,5,2,2,5,5,5,34,Yes,Yes,66.2
STU_153,ASD,Term 8,4.15,A-,No,No,0.66,Experiment failed,Integration by parts,4,2,2,2,4,3,2,2,3,3,3,33,Yes,No,57.2
STU_154,ISTD,Term 6,4.27,A/A+,Yes,No,0,Experiment failed,Integration by parts,3,4,3,3,3,2,3,3,3,3,5,37,Yes,Yes,67.8
STU_155,ASD,Term 7,4.66,A/A+,No,No,1,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,3,4,3,3,4,2,2,3,2,1,6,55,No,No,72.6
STU_156,EPD,Term 7,4.24,A/A+,Yes,Yes,0,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,4,4,4,3,3,3,3,2,4,4,1,13,Yes,Yes,72.2
STU_157,EPD,Term 6,,A-,No,No,Error,96% probability H0 is true,Integration by parts,1,4,4,3,3,4,2,2,2,4,6,6,No,No,56.8
STU_158,ISTD,Term 6,4.23,A/A+,Yes,Yes,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,5,4,4,1,5,3,4,2,4,3,8,31,Yes,Yes,75.6
STU_159,EPD,Term 7,4.13,A/A+,Yes,No,0.66,Not significant (fail to reject H0),Finding eigenvalues and eigenvectors,5,2,4,3,5,2,2,1,3,1,0,77,No,Yes,56.5
STU_160,ISTD,Term 6,4.3,A-,Yes,No,1,Statistically significant (reject H0),Integration by parts,2,4,1,4,2,3,5,4,3,5,,93,No,Yes,78.4
STU_161,ESD,Term 7,4.0,A-,No,Yes,2,96% probability H0 is true,Finding eigenvalues and eigenvectors,4,5,4,2,3,4,3,4,4,5,9,49,No,Yes,75.7
STU_162,EPD,Term 7,4.34,A/A+,Yes,No,2,Statistically significant (reject H0),Integration by parts,2,3,3,2,4,3,3,3,3,3,8,31,No,Yes,77.6
STU_163,ISTD,Term 6,3.89,Exempted/Di,No,No,0,Not significant (fail to reject H0),Calculating the derivative,3,2,3,2,4,2,3,4,5,4,6,17,Yes,Yes,59.8
STU_164,ISTD,Term 6,4.48,A/A+,Yes,Yes,2,Statistically significant (reject H0),Integration by parts,5,1,3,2,5,2,3,3,4,4,4,54,No,Yes,89.7
STU_165,ISTD,Term 7,4.1,A-,Yes,Yes,0.66,Not significant (fail to reject H0),Binary tree traversal,2,3,2,3,2,5,2,2,3,3,6,69,Yes,Yes,66.9
STU_166,EPD,Term 6,,A/A+,Yes,No,2,Experiment failed,Calculating the derivative,2,5,2,3,2,4,1,3,3,2,9,102,Yes,Yes,76.1
STU_167,EPD,Term 6,4.52,A/A+,No,No,0,Statistically significant (reject H0),Calculating the derivative,4,3,3,3,1,3,2,2,1,2,9,43,No,No,72.9
STU_168,ASD,Term 6,3.72,B+,No,No,0,Statistically significant (reject H0),Integration by parts,2,4,2,5,1,4,4,5,5,5,13,,Yes,Yes,78.5
STU_169,ESD,Term 6,4.46,A-,Yes,No,2,96% probability H0 is true,Integration by parts,5,3,5,1,3,1,1,3,2,3,,21,No,Yes,54.8
STU_170,ESD,Term 6,3.61,B,No,No,0.66,Not significant (fail to reject H0),Binary tree traversal,2,3,3,3,3,3,1,1,3,1,7,47,No,Yes,62.7
STU_171,ISTD,Term 7,3.8,B,No,No,2,Not significant (fail to reject H0),Finding eigenvalues and eigenvectors,4,4,4,4,1,3,3,3,3,2,5,58,Yes,Yes,62.1
STU_172,ASD,Term 6,4.41,A/A+,Yes,No,0,Statistically significant (reject H0),Calculating the derivative,4,3,3,1,5,2,2,2,2,3,2,31,Yes,Yes,78.0
STU_173,ASD,Term 7,4.31,A/A+,Yes,No,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,4,3,4,2,5,3,3,5,4,4,3,62,Yes,Yes,71.0
STU_174,ASD,Term 6,3.98,B,Yes,No,2,Experiment failed,Calculating the derivative,4,2,3,3,3,2,4,3,5,4,8,26,Yes,Yes,74.4
STU_175,ESD,Term 6,4.18,A/A+,Yes,No,Error,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,3,3,3,5,1,5,4,3,4,5,6,79,No,Yes,75.5
STU_176,ESD,Term 6,4.49,A/A+,No,No,2,Experiment failed,Finding eigenvalues and eigenvectors,4,1,5,1,4,1,4,4,4,3,4,66,Yes,No,62.7
STU_177,ESD,Term 6,4.67,A/A+,No,Yes,0.66,Not significant (fail to reject H0),Calculating the derivative,2,3,3,4,3,2,4,5,5,5,6,55,Yes,Yes,72.6
STU_178,ASD,Term 6,3.78,A-,No,No,2,Not significant (fail to reject H0),Calculating the derivative,3,2,5,3,3,2,2,3,3,3,4,52,Yes,Yes,56.1
STU_179,DAI,Term 6,4.47,A/A+,Yes,No,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,3,5,3,4,2,5,2,2,2,2,6,26,No,Yes,73.4
STU_180,ISTD,Term 6,4.68,A/A+,Yes,No,2,Experiment failed,Finding eigenvalues and eigenvectors,1,4,3,2,2,4,2,3,3,3,11,24,No,Yes,84.1
STU_181,DAI,Term 7,4.66,A/A+,No,No,Error,96% probability H0 is true,Finding eigenvalues and eigenvectors,1,3,2,4,2,3,4,5,3,4,9,,Yes,Yes,84.4
STU_182,DAI,Term 8,4.53,A-,No,No,2,Experiment failed,Finding eigenvalues and eigenvectors,2,3,5,1,4,3,5,5,3,3,2,58,No,Yes,85.8
STU_183,ESD,Term 6,3.84,B+,No,Yes,2,Statistically significant (reject H0),Integration by parts,3,4,3,2,5,3,3,2,1,4,6,68,No,Yes,64.5
STU_184,DAI,Term 7,4.99,A/A+,No,Yes,0,Statistically significant (reject H0),Binary tree traversal,3,4,3,3,2,5,5,4,4,3,,32,No,Yes,64.9
STU_185,ISTD,Term 8,5.11,A/A+,No,No,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,2,3,4,3,1,3,5,5,5,3,12,42,Yes,Yes,100.0
STU_186,EPD,Term 8,3.01,C+ or lower,No,No,0,96% probability H0 is true,Integration by parts,5,2,3,1,5,2,2,3,4,3,3,31,No,Yes,45.4
STU_187,ISTD,Term 8,4.46,A-,No,No,1,Not significant (fail to reject H0),Integration by parts,2,3,2,3,3,4,5,4,1,2,9,32,No,No,62.9
STU_188,ISTD,Term 8,3.49,Exempted/Di,No,No,1,Not significant (fail to reject H0),Finding eigenvalues and eigenvectors,2,5,3,5,1,5,3,2,1,2,6,13,Yes,Yes,67.6
STU_189,EPD,Term 6,3.9,B,No,No,0.66,96% probability H0 is true,Integration by parts,4,3,2,5,2,5,3,4,5,3,7,21,Yes,Yes,79.1
STU_190,ISTD,Term 6,3.94,A/A+,No,No,0,Experiment failed,Binary tree traversal,3,1,3,3,2,1,4,2,2,3,3,51,No,Yes,31.1
STU_191,ISTD,Term 8,4.19,A/A+,Yes,No,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,3,2,2,4,3,2,4,4,3,5,15,35,No,Yes,82.0
STU_192,EPD,Term 7,3.37,Exempted/Di,No,No,0.66,Experiment failed,Finding eigenvalues and eigenvectors,2,4,3,2,3,2,2,3,2,2,2,26,No,Yes,51.1
STU_193,ESD,Term 6,3.99,A-,Yes,No,2,Experiment failed,Finding eigenvalues and eigenvectors,3,1,5,1,3,4,1,2,1,2,0,33,Yes,Yes,59.0
STU_194,ESD,Term 6,3.7,B+,No,No,0.66,Not significant (fail to reject H0),Binary tree traversal,2,4,4,3,2,3,4,3,4,4,4,32,No,Yes,45.8
STU_195,ISTD,Term 8,5.18,A/A+,Yes,No,Error,Statistically significant (reject H0),Calculating the derivative,4,3,3,1,3,3,4,5,3,4,7,73,No,Yes,91.8
STU_196,ISTD,Term 6,4.0,B,No,No,0,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,5,1,5,3,5,1,5,2,3,3,4,58,Yes,No,59.7
STU_197,ISTD,Term 6,4.28,A-,Yes,No,1,Not significant (fail to reject H0),Binary tree traversal,1,2,3,3,3,3,4,4,4,4,8,24,Yes,Yes,56.5
STU_198,DAI,Term 6,3.76,B+,No,No,0,Statistically significant (reject H0),Calculating the derivative,4,1,3,3,4,1,3,4,4,4,4,34,Yes,Yes,61.2
STU_199,EPD,Term 6,4.27,B+,Yes,No,1,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,3,2,3,3,2,2,5,5,3,5,12,,Yes,Yes,89.6
STU_200,ISTD,Term 7,4.22,A/A+,No,No,2,96% probability H0 is true,Finding eigenvalues and eigenvectors,3,2,2,2,3,2,3,4,5,2,6,10,Yes,Yes,76.7
STU_201,ASD,Term 6,4.33,A/A+,Yes,No,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,5,2,4,1,5,3,3,2,3,5,4,14,Yes,Yes,63.8
STU_202,ISTD,Term 7,4.47,Exempted/Di,Yes,No,2,96% probability H0 is true,Finding eigenvalues and eigenvectors,4,3,4,2,2,4,5,3,4,5,9,34,No,Yes,81.4
STU_203,ISTD,Term 6,4.42,A-,Yes,No,2,96% probability H0 is true,Integration by parts,2,4,2,4,1,5,3,3,3,3,9,61,No,Yes,65.1
STU_204,ESD,Term 6,3.98,A/A+,Yes,No,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,3,5,2,5,3,4,3,4,2,3,3,72,No,No,74.4
STU_205,ISTD,Term 6,3.86,B+,No,Yes,Error,Statistically significant (reject H0),Integration by parts,3,4,2,1,3,2,3,4,2,4,7,26,Yes,Yes,72.8
STU_206,EPD,Term 7,3.74,A/A+,No,No,2,Experiment failed,Binary tree traversal,3,3,4,3,4,5,2,1,3,4,7,1,No,Yes,55.8
STU_207,ISTD,Term 8,4.28,A/A+,Yes,No,0.66,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,4,3,3,4,4,3,3,4,3,3,5,37,Yes,Yes,74.9
STU_208,ESD,Term 6,3.55,B,No,No,1,Statistically significant (reject H0),Calculating the derivative,2,3,3,4,5,4,3,3,3,3,5,27,Yes,No,56.5
STU_209,ESD,Term 6,4.16,A/A+,Yes,No,Error,Experiment failed,Integration by parts,1,4,2,3,3,3,1,3,3,2,8,46,No,Yes,57.5
STU_210,EPD,Term 6,3.92,C+ or lower,No,Yes,2,Not significant (fail to reject H0),Calculating the derivative,3,4,1,4,3,3,2,2,2,1,8,50,Yes,Yes,66.2
STU_211,ASD,Term 7,4.84,A/A+,Yes,No,Error,Experiment failed,Calculating the derivative,3,4,2,3,3,3,5,3,4,4,7,30,No,Yes,79.2
STU_212,ASD,Term 8,4.37,A/A+,Yes,No,0.66,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,5,2,3,4,4,3,3,5,2,3,8,37,No,Yes,72.5
STU_213,ISTD,Term 6,4.58,A/A+,Yes,No,2,Experiment failed,Binary tree traversal,4,1,4,1,4,3,5,5,4,4,4,,No,Yes,58.3
STU_214,ISTD,Term 6,4.54,A/A+,Yes,Yes,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,3,2,4,4,5,1,3,3,3,5,3,38,Yes,Yes,69.9
STU_215,EPD,Term 6,4.06,A/A+,No,No,1,Not significant (fail to reject H0),Calculating the derivative,4,3,3,3,3,4,2,4,2,2,6,50,Yes,Yes,68.4
STU_216,ISTD,Term 6,3.36,B-,Yes,Yes,1,Statistically significant (reject H0),Binary tree traversal,1,5,1,4,1,4,3,4,2,3,11,42,No,Yes,76.6
STU_217,ISTD,Term 7,3.28,B,No,No,Error,Experiment failed,Binary tree traversal,5,1,4,4,3,2,2,2,2,1,3,14,Yes,Yes,31.4
STU_218,ISTD,Term 7,3.66,B+,Yes,Yes,0,Statistically significant (reject H0),Calculating the derivative,1,5,2,4,1,4,2,3,2,2,11,56,Yes,Yes,77.6
STU_219,ESD,Term 6,4.48,A/A+,No,No,Error,96% probability H0 is true,Calculating the derivative,3,3,5,3,3,4,1,4,3,3,3,46,No,Yes,57.1
STU_220,ASD,Term 7,4.54,A/A+,Yes,No,2,96% probability H0 is true,Finding eigenvalues and eigenvectors,4,4,4,3,4,3,3,3,3,4,7,21,Yes,Yes,83.7
STU_221,ESD,Term 6,4.67,A-,Yes,No,2,Experiment failed,Integration by parts,3,3,2,2,3,3,4,5,1,3,4,,Yes,Yes,77.0
STU_222,ISTD,Term 6,4.43,A/A+,Yes,No,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,3,2,4,2,4,5,4,5,4,3,5,33,No,Yes,79.9
STU_223,ASD,Term 6,4.14,A-,Yes,No,0.66,Statistically significant (reject H0),Integration by parts,5,1,5,1,5,1,4,3,3,2,1,14,No,No,55.5
STU_224,EPD,Term 7,4.38,A/A+,No,No,2,96% probability H0 is true,Finding eigenvalues and eigenvectors,3,2,2,3,3,4,5,2,5,4,5,55,Yes,Yes,69.8
STU_225,ESD,Term 6,3.81,B+,Yes,No,0,96% probability H0 is true,Finding eigenvalues and eigenvectors,4,1,5,1,4,1,2,3,2,3,2,51,No,No,67.1
STU_226,EPD,Term 8,3.68,B+,No,No,2,96% probability H0 is true,Binary tree traversal,3,2,4,4,4,5,1,2,1,2,6,38,Yes,Yes,51.9
STU_227,DAI,Term 6,4.31,A/A+,No,No,Error,Not significant (fail to reject H0),Finding eigenvalues and eigenvectors,4,1,5,3,4,3,2,1,1,1,0,54,No,Yes,51.7
STU_228,DAI,Term 6,4.13,B+,No,No,Error,Experiment failed,Calculating the derivative,3,2,5,2,4,2,3,2,2,1,5,44,No,Yes,52.3
STU_229,ESD,Term 6,3.64,B,No,No,1,Statistically significant (reject H0),Binary tree traversal,4,3,3,3,1,4,4,5,5,4,,55,Yes,Yes,61.7
STU_230,EPD,Term 7,2.98,B-,Yes,No,Error,Experiment failed,Integration by parts,2,5,1,3,2,5,3,4,2,3,12,27,Yes,Yes,68.4
STU_231,EPD,Term 7,4.41,A/A+,No,No,0,Not significant (fail to reject H0),Finding eigenvalues and eigenvectors,5,2,5,1,4,3,3,2,4,2,5,22,Yes,Yes,62.0
STU_232,ISTD,Term 6,,B,No,No,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,4,2,5,3,3,3,4,3,5,4,4,,Yes,Yes,64.3
STU_233,DAI,Term 6,5.23,A/A+,Yes,Yes,Error,Statistically significant (reject H0),Binary tree traversal,2,4,1,4,3,4,4,4,3,4,6,14,No,Yes,75.7
STU_234,ASD,Term 6,4.02,B+,Yes,No,2,Statistically significant (reject H0),Calculating the derivative,1,3,1,3,3,5,3,5,4,2,13,29,Yes,Yes,65.6
STU_235,ISTD,Term 8,4.3,A-,No,No,2,96% probability H0 is true,Finding eigenvalues and eigenvectors,2,3,2,5,2,2,4,5,5,4,10,47,No,Yes,76.8
STU_236,ESD,Term 8,3.92,B,No,No,Error,96% probability H0 is true,Integration by parts,3,2,1,3,2,3,2,2,2,2,11,,No,Yes,65.1
STU_237,DAI,Term 6,4.17,B+,Yes,No,Error,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,4,1,4,1,4,3,3,3,2,5,5,74,Yes,Yes,72.8
STU_238,ISTD,Term 7,3.78,A/A+,No,Yes,0,96% probability H0 is true,Finding eigenvalues and eigenvectors,2,1,5,3,3,1,1,4,3,4,8,35,No,Yes,77.7
STU_239,ISTD,Term 7,3.74,A/A+,Yes,No,2,Statistically significant (reject H0),Calculating the derivative,2,3,4,2,4,3,2,1,3,2,5,9,Yes,Yes,71.7
STU_240,ISTD,Term 6,3.9,A-,Yes,No,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,4,3,4,3,5,1,5,3,5,4,6,124,No,Yes,68.8
